,Job Title Cleaned,Company,Industry,Employees_Avg,Followers_Numbers,New Applicants,City,State,Country,Job_type_cleaned,Type of role cleaned
0,client technology platform engineering senior devops engineer,ey,information technology  services,10001,7366377,9,trivandrum,kerala, india,onsite,fulltime  midsenior level
1,associate global intelligence open source collection cell,jpmorgan chase & co.,financial services,10001,3791093,10,mumbai,maharashtra, india,onsite,fulltime
2,mts software development eng,amd,semiconductors,10001,1068681,41,bengaluru,karnataka, india,onsite,fulltime  midsenior level
3,tech lead wifi development,vvdn technologies,information technology  services,10001,62010,13,chennai,tamil nadu, india,onsite,fulltime  midsenior level
4,senior application specialist,leica biosystems,medical device,3000,86924,78,mumbai,maharashtra, india,onsite,fulltime
5,sales engineer,thought machine,computer software,750,58555,18,,,mumbai metropolitan region,onsite,fulltime
6,openstack administrator,tis labs pvt ltd,information technology  services,126,8801,66,andhra pradesh,, india,onsite,fulltime  midsenior level
7,tcs hiring for network data rs aruba wireless,tata consultancy services,information technology  services,10001,12345310,200,new delhi,delhi, india,hybrid,fulltime  associate
8,value stream leader,gkn automotive,automotive,10001,107995,154,sriperumbudur,tamil nadu, india,onsite,fulltime  midsenior level
9,devsecops engineerapplication security engineer,ingram micro,information technology  services,10001,411809,75,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
10,oracle dba,tata consultancy services,information technology  services,10001,12345309,79,chennai,tamil nadu, india,onsite,fulltime  midsenior level
11,seo analyst,life at woods,government administration,126,791,76,hyderabad,telangana, india,onsite,fulltime
12,big data developer,luxoft,information technology  services,10001,1069016,12,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
13,stem robotics trainer,eduvacancy,internet,6,47882,1,hyderabad,telangana, india,onsite,fulltime
14,lead data scientist,wuelev8 - where you elevate,computer software,30,19958,2,chennai,tamil nadu, india,onsite,fulltime
15,full time instructor computer science,newton school,elearning,350,81310,16,bengaluru,karnataka, india,onsite,fulltime
16,engageone developer,ltimindtree,information technology  services,10001,390524,21,bengaluru,karnataka, india,onsite,fulltime  midsenior level
17,smts vmc on aws,vmware,computer software,10001,1863289,19,bengaluru,karnataka, india,onsite,fulltime
18,iam specialist identity services staff augmentation,ey,information technology  services,10001,7366382,9,trivandrum,kerala, india,onsite,parttime  associate
19,xsoar engineer,cyberproof,computer  network security,750,15214,54,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
20,data analyst,keyloop,computer software,3000,58990,166,hyderabad,telangana, india,hybrid,fulltime  associate
21,abinitio with meta data bangalore,virtusa,information technology  services,10001,885714,32,karnataka,, india,hybrid,fulltime  midsenior level
22,tool die maintenance technician,gestamp,automotive,10001,241439,62,kanchipuram,tamil nadu, india,onsite,fulltime  midsenior level
23,chief managerassistant manager thermal equipment engineering,john cockerill,mechanical or industrial engineering,7500,64588,188,mumbai,maharashtra, india,onsite,fulltime  midsenior level
24,lead software engineer,here technologies,information technology  services,7500,198842,31,mumbai,maharashtra, india,onsite,fulltime  midsenior level
25,data controller,enp technologies,information technology  services,6,1000,108,maharashtra,, india,hybrid,fulltime
26,senior lead engineer ios,qburst,information technology  services,3000,48932,139,,,greater bengaluru area,hybrid,fulltime  midsenior level
27,sr software engineer,aci worldwide,computer software,3000,134619,35,pune,maharashtra, india,onsite,fulltime  midsenior level
28,service technician,leslie's,retail,3000,15251,16,salem,tamil nadu, india,onsite,fulltime  executive
29,principal software engineer,aurigo software technologies,computer software,350,23495,33,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
30,staff software engineer,equinix asia-pacific,computer software,7500,23716,30,bengaluru,karnataka, india,onsite,fulltime
31,mobility sales lead,jio,telecommunications,10001,939976,128,thoubal,manipur, india,onsite,fulltime  associate
32,solution lead java,acara solutions india,staffing  recruiting,350,19955,34,bengaluru,karnataka, india,onsite,fulltime  midsenior level
33,field coordinators ut jammu kashmir,responsenet,nonprofit organization management,30,10075,200,srinagar,jammu & kashmir, india,onsite,fulltime
34,head of network operations,mindsprint,information technology  services,3000,20969,72,chennai,tamil nadu, india,hybrid,fulltime  director
35,oracle dba,tata consultancy services,information technology  services,10001,12345335,93,bengaluru,karnataka, india,onsite,fulltime  midsenior level
36,leadsenior backend developer,99games,computer games,126,24155,109,udupi,karnataka, india,onsite,fulltime  midsenior level
37,senior regional technical specialist markets and value chains p4,international fund for agricultural development (ifad),international trade  development,750,178175,62,new delhi,delhi, india,onsite,fulltime  midsenior level
38,technical lead software developement,landis+gyr,electrical  electronic manufacturing,7500,68117,31,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
39,lead security engineer soc,"envestnet, inc",financial services,3000,68684,124,trivandrum,kerala, india,hybrid,fulltime  midsenior level
40,data controller,enp technologies,information technology  services,6,1000,108,maharashtra,, india,hybrid,fulltime
41,application architect,bdx data centers,computer software,350,18228,35,navi mumbai,maharashtra, india,onsite,fulltime
42,technical lead embedded linux expert,"mettler-toledo international, inc",electrical  electronic manufacturing,10001,118535,15,coimbatore,tamil nadu, india,onsite,fulltime  midsenior level
43,pcf,ust,information technology  services,10001,821584,59,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
44,java leadmanager,evolent health,hospital  health care,3000,72415,52,pune,maharashtra, india,hybrid,fulltime  director
45,graduate management trainee,gautam dyes and chemicals inc,chemicals,350,1441,20,chennai,tamil nadu, india,onsite,fulltime
46,lead software engineer full stack,nissan motor corporation,automotive,10001,1382213,26,trivandrum,kerala, india,onsite,fulltime
47,vc pune 4yrs 6yrs,capgemini,information technology  services,10001,5643035,38,pune,maharashtra, india,onsite,fulltime
48,application engineers,transreach talent llc,information technology  services,126,789,8,bengaluru,karnataka, india,hybrid,fulltime
49,branch headmnc bankgurgaon,upgrad rekrut,staffing  recruiting,126,38158,112,gurugram,haryana, india,onsite,fulltime  midsenior level
50,technical leadintegration and deployment,idemia,computer software,10001,511174,17,mumbai,maharashtra, india,onsite,fulltime  midsenior level
51,privileged access management beyond trust,hcltech,information technology  services,10001,4675781,94,noida,uttar pradesh, india,onsite,fulltime  midsenior level
52,field service technician,evoqua water technologies,environmental services,3000,84683,26,lephripada,odisha, india,onsite,fulltime
53,assistant manager internal controls it,the kraft heinz company,food  beverages,10001,1315994,28,ramban,jammu & kashmir, india,onsite,fulltime  midsenior level
54,business analyst,kyndryl india,information technology  services,10001,46543,69,bangalore urban,karnataka, india,hybrid,fulltime  entry level
55,guidewire claim center developer,aspire systems,information technology  services,3000,95488,17,,,greater chennai area,hybrid,fulltime  midsenior level
56,field service technician,evoqua water technologies,environmental services,3000,84683,26,lephripada,odisha, india,onsite,fulltime
57,datacom developer,capgemini engineering,information technology  services,10001,1675879,14,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
58,stream leadtechnical lead,lentra,information technology  services,350,12971,22,bengaluru,karnataka, india,onsite,fulltime  midsenior level
59,sr application engineer i,johnson controls,mechanical or industrial engineering,10001,1247311,52,pune,maharashtra, india,onsite,fulltime  midsenior level
60,business development executive,byju's,elearning,10001,1799437,17,bengaluru,karnataka, india,onsite,fulltime
61,technical content writer,hops healthcare,health wellness  fitness,126,7012,4,ahmedabad,gujarat, india,onsite,fulltime
62,deputy managerproduction,jubilant pharmova limited,pharmaceuticals,10001,164951,102,nanjangud,karnataka, india,onsite,fulltime  midsenior level
63,tsm tse ase meril trauma division,meril,medical device,3000,63874,200,ranchi,jharkhand, india,onsite,fulltime  midsenior level
64,consultant car,rizing consumer industries,information technology  services,3000,29761,96,bangalore urban,karnataka, india,hybrid,fulltime  director
65,area head direct distribution,bharti axa life insurance,insurance,7500,88546,51,warangal,telangana, india,onsite,fulltime  midsenior level
66,agency development manager,hdfc life insurance,insurance,3000,594,25,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
67,agm technology,matrimony.com limited,computer software,3000,61292,56,chennai,tamil nadu, india,onsite,fulltime  entry level
68,acr stat senior,ey,information technology  services,10001,7366424,19,trivandrum,kerala, india,onsite,fulltime  midsenior level
69,field specialist coiled tubing,baker hughes,oil  energy,10001,2075442,16,rajasthan,, india,onsite,fulltime  entry level
70,senior data engineer,it opendoors llc,computer software,126,2337,8,hyderabad,telangana, india,onsite,fulltime
71,iam specialist directory services staff augmentation,ey,information technology  services,10001,7366426,7,trivandrum,kerala, india,onsite,fulltime  associate
72,sr systems engineer 1sr systems engineer 2 security operations,rakuten india,computer software,3000,203113,41,bengaluru,karnataka, india,onsite,fulltime  midsenior level
73,python web scraping facetoface interview,infiniti research ltd.,market research,750,109865,99,bengaluru,karnataka, india,onsite,contract  entry level
